Campaign Name,Send Time,Recipients,Revenue,First Purchase,Returning Customer,Open Rate,Click Rate,CTR,CVR,Time_Interval,Day_of_Week
La diferencia “barefoot”,2025-08-10 10:00:00,105527,4525.0,1802.0,2723.0,0.7323999999999999,0.0069,0.009399999999999999,0.0004,10:00–11:00,Sunday
Días sin dolor empiezan en la suela,2025-08-08 15:30:00,116077,3892.0,912.0,2980.0,0.6740999999999999,0.0060999999999999995,0.0091,0.0003,15:00–16:00,Friday
Días sin dolor empiezan en la suela (v2),2025-08-08 10:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:00–11:00,Friday
Miércoles: Move Natural #4,2025-08-06 12:00:00,16399,580.0,105.0,475.0,0.5905,0.0021,0.0034999999999999996,0.0002,12:00–13:00,Wednesday
Back to School,2025-08-05 10:00:00,117801,2968.0,857.0,2111.0,0.653,0.0037,0.005600000000000001,0.0002,10:00–11:00,Tuesday
Día de la Familia,2025-08-03 09:00:00,117813,4378.0,1599.0,2779.0,0.6577,0.0046,0.0069,0.0003,09:00–10:00,Sunday
Cordones premium de ajuste,2025-08-01 12:00:00,104895,4079.0,2222.0,1857.0,0.7329000000000001,0.0049,0.0066,0.0003,12:00–13:00,Friday
12 años de libertad de movimiento,2025-07-30 17:00:00,105293,2308.0,1340.0,968.0,0.7364,0.0068000000000000005,0.0092,0.0003,17:00–18:00,Wednesday
El daño silencioso del calzado moderno,2025-07-29 09:30:00,119009,4079.0,2122.0,1956.0,0.6546,0.0064,0.0098,0.0003,09:00–10:00,Tuesday
Encuentra tu ajuste perfecto,2025-07-27 12:30:00,114963,4848.0,1330.0,3517.0,0.7225,0.009399999999999999,0.013000000000000001,0.0004,12:00–13:00,Sunday
Caminas diferente (y eso es bueno),2025-07-25 06:45:00,109340,4468.0,1502.0,2966.0,0.7386,0.0105,0.014199999999999999,0.0004,06:00–07:00,Friday
¿Por qué te duelen los pies después de caminar?,2025-07-23 17:00:00,109930,2858.0,1416.0,1442.0,0.716,0.006999999999999999,0.0098,0.0002,17:00–18:00,Wednesday
Miércoles: Move Natural #3,2025-07-23 15:30:00,9964,495.0,316.0,179.0,0.5223,0.002,0.0038,0.0005,15:00–16:00,Wednesday
Movimiento natural + hormonas: la conexión olvidada,2025-07-21 18:00:00,110640,5286.0,1435.0,3851.0,0.7162000000000001,0.008,0.011200000000000002,0.0004,18:00–19:00,Monday
Más energía en 7 días: sistema nervioso,2025-07-19 12:15:00,37486,2135.0,2135.0,0.0,0.7456,0.011699999999999999,0.015700000000000002,0.0005,12:00–13:00,Saturday
Vuelve stock: Runner Pro (follow-up) (clone),2025-07-17 11:15:00,30018,2279.0,810.0,1469.0,0.4243,0.016399999999999998,0.038599999999999995,0.0007000000000000001,11:00–12:00,Thursday
Vuelve stock: Runner Pro (interesados) (clone),2025-07-17 11:00:00,1144,159.0,0.0,159.0,0.1407,0.036699999999999997,0.2609,0.0009,11:00–12:00,Thursday
